
B-V,Vmag,class
0.999,9.27,main_sequence
0.778,8.65,main_sequence
1.15,10.78,main_sequence
1.03,10.57,main_sequence
1.068,9.93,main_sequence
0.642,8.57,main_sequence
0.787,8.61,main_sequence
0.62,8.64,main_sequence
1.033,10.35,main_sequence
0.932,11.26,main_sequence
1.49,12.43,main_sequence
0.617,7.17,main_sequence
0.741,7.66,main_sequence
1.1,10.37,main_sequence
0.855,9.8,main_sequence
0.71,8.13,main_sequence
0.577,7.53,main_sequence
0.735,9.13,main_sequence
0.636,8.22,main_sequence
0.595,7.51,main_sequence
0.463,7.06,main_sequence
0.61,7.82,main_sequence
1.26,11.65,main_sequence
0.68,7.78,main_sequence
1.013,3.88,giant
0.965,9.53,main_sequence
1.395,11.55,main_sequence
0.807,8.97,main_sequence
1.293,10.03,main_sequence
0.643,8.61,main_sequence
0.739,8.44,main_sequence
0.743,8.66,main_sequence
1.36,10.41,main_sequence
0.743,8.76,main_sequence
0.962,9.42,main_sequence
0.645,8.36,main_sequence
0.521,7.32,main_sequence
0.462,6.66,main_sequence
0.64,7.42,main_sequence
0.73,8.51,main_sequence
0.695,8.57,main_sequence
0.965,8.79,main_sequence
1.258,11.06,main_sequence
0.95,10.01,main_sequence
1.31,10.51,main_sequence
1.22,11.36,main_sequence
1.4,11.3,main_sequence
0.386,6.46,main_sequence
1.249,10.83,main_sequence
1.31,11.3,main_sequence
0.477,7.21,main_sequence
0.054,4.51,main_sequence
0.537,7.46,main_sequence
0.508,7.03,main_sequence
0.442,5.16,main_sequence
0.835,9.65,main_sequence
1.47,11.21,main_sequence
0.769,8.59,main_sequence
0.848,9.83,main_sequence
0.639,7.57,main_sequence
0.579,7.88,main_sequence
1.099,10.66,main_sequence
0.709,8.68,main_sequence
1.258,10.6,main_sequence
1.39,11.33,main_sequence
0.904,9.56,main_sequence
0.616,7.57,main_sequence
1.06,9.61,main_sequence
0.629,7.52,main_sequence
1.0,10.05,main_sequence
0.745,9.02,main_sequence
1.229,11.59,main_sequence
0.748,8.46,main_sequence
0.84,9.34,main_sequence
0.57,10.11,main_sequence
0.388,6.15,main_sequence
1.066,10.68,main_sequence
0.367,5.67,main_sequence
0.652,7.74,main_sequence
0.504,7.37,main_sequence
-0.064,4.36,main_sequence
0.84,8.54,main_sequence
0.038,5.07,main_sequence
0.481,6.9,main_sequence
0.549,7.38,main_sequence
1.05,9.56,main_sequence
0.827,8.97,main_sequence
0.602,7.37,main_sequence
0.78,9.31,main_sequence
0.648,8.37,main_sequence
1.31,11.26,main_sequence
0.466,6.72,main_sequence
0.78,8.4,main_sequence
0.297,6.06,main_sequence
0.639,6.79,main_sequence
0.723,6.99,main_sequence
0.463,7.53,main_sequence
0.554,7.11,main_sequence
0.846,9.21,main_sequence
0.633,7.34,main_sequence
0.538,7.43,main_sequence
1.278,10.22,main_sequence
0.519,6.68,main_sequence
0.747,8.78,main_sequence
0.539,7.37,main_sequence
0.93,9.92,main_sequence
1.27,10.84,main_sequence
0.579,6.95,main_sequence
0.452,7.03,main_sequence
0.515,5.38,main_sequence
0.772,9.1,main_sequence
0.529,6.63,main_sequence
0.716,7.88,main_sequence
1.32,10.97,main_sequence
0.492,6.9,main_sequence
0.524,6.15,main_sequence
0.537,7.01,main_sequence
0.96,9.93,main_sequence
0.545,7.54,main_sequence
0.517,7.63,main_sequence
0.814,9.92,main_sequence
0.424,6.39,main_sequence
1.4,11.73,main_sequence
0.909,10.15,main_sequence
0.857,9.71,main_sequence
0.78,8.45,main_sequence
0.4,8.5,main_sequence
